"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Test the login feature","To login with  email and pw","0","0","3","0","0"
"","Test the Vehicle feature","To Add a new vehicle","0","0","1","0","0"
"","Test the Visitor feature","To import visitor","0","0","5","0","0"
"","Test the Team feature","To delete Team","0","1","2","0","0"
"","Test the Visitor feature","To Add a new visitor","0","1","3","0","0"
"","Test the Visitor feature","To delete visitor","0","0","5","0","0"
"","Test the Vehicle feature","To update vehicle","0","0","3","0","0"
"","Test the Vehicle feature","user click on submit button without entering data","0","0","1","0","0"
"","Test the Vehicle feature","To import vehicle","0","0","2","0","0"
"","Test the Vehicle feature","To export the list of vehicle","0","1","2","0","0"
"","Test the Workforce feature","user click on submit button without entering data","0","0","2","0","0"
"","Test the Team feature","To export the list of Team","0","0","1","0","0"
"","Test the Visitor feature","To update visitor","0","0","3","0","0"
"","Test the Workforce feature","To update workforce","0","1","1","0","0"
"","Test the Visitor feature","To export the list of visitors","0","3","2","0","0"
"","Test the Team feature","To add multiple Teams then delete them","0","0","1","0","0"
"","Test the Team feature","To update Team","0","0","3","0","0"
"","Test the Workforce feature","To export the list of workforce","0","0","1","0","0"
"","Test the Visitor feature","user click on submit button without entering data","0","0","3","0","0"
"","Test the Team feature","user click on submit button without entering data","0","0","1","0","0"
"","Test the logout feature","To logout from account","0","1","2","0","0"
"","Test the Vehicle feature","To delete vehicle","0","0","3","0","0"
"","Test the Team feature","To Add a new Team","0","0","1","0","0"
"","Test the Vehicle feature","To add multiple vehicles then delete them","0","1","1","0","0"
"","Test the Workforce feature","To add multiple workforces then delete them","0","0","2","0","0"
"","Test the Workforce feature","To import workforce","0","1","1","0","0"
"","Test the Workforce feature","To delete workforce","0","1","1","0","0"
"","Test the logout feature","2To logout from account","0","1","0","0","0"
"","Test the Visitor feature","To add multiple visitors then delete them","1","0","0","0","0"
"","Test the Workforce feature","To Add a new workforce","0","0","1","0","0"
